student_id,age,gender,study_hours_per_week,attendance_percentage,internet_access,parental_education_level,family_income_level,extra_classes,sleep_hours_per_day,previous_exam_score,final_exam_score,result
132,18,Female,20,52,1,No Schooling,High,1,5.7,63.6,57.6,Pass
133,17,Male,5,86,0,No Schooling,High,1,5.8,37.0,35.1,Fail
134,18,Female,2,68,0,Primary,High,1,6.9,43.1,32.1,Fail
135,16,Male,10,78,1,Primary,Low,1,7.7,47.1,53.9,Pass
136,16,Male,1,74,0,No Schooling,High,1,4.3,9.1,20.0,Fail
137,17,Male,7,82,1,Higher Secondary,Low,1,7.0,67.7,52.7,Pass
138,15,Male,26,85,0,Secondary,Low,0,8.8,65.0,75.6,Pass
139,15,Female,17,78,1,Secondary,Low,1,5.3,62.2,73.6,Pass
140,18,Male,16,75,0,No Schooling,High,1,8.5,40.8,55.8,Pass
141,14,Female,27,53,1,Higher Secondary,Low,1,8.8,86.4,89.2,Pass
142,18,Male,27,98,0,Primary,High,1,5.3,67.0,78.5,Pass
143,17,Female,24,63,1,No Schooling,High,0,7.8,54.0,74.4,Pass
144,17,Female,3,99,1,Graduate,Low,0,5.2,21.9,33.9,Fail
145,17,Female,14,76,1,Higher Secondary,Low,1,7.7,55.4,53.1,Pass
146,17,Female,10,82,1,Graduate,Low,1,8.0,44.8,51.7,Pass
147,17,Female,22,71,0,Graduate,High,0,5.2,38.9,44.8,Pass
148,16,Female,7,97,1,No Schooling,High,0,7.6,41.9,39.4,Fail
149,15,Male,26,52,1,Higher Secondary,Low,0,8.1,58.5,69.5,Pass
150,17,Female,17,72,0,Graduate,Low,1,5.8,49.6,38.7,Fail
151,14,Male,6,70,1,Higher Secondary,Medium,0,4.8,14.8,22.4,Fail
152,14,Female,23,90,0,Secondary,Low,0,4.5,64.4,56.9,Pass
153,14,Male,22,72,1,Graduate,Medium,1,6.9,49.9,46.3,Pass
154,14,Female,4,53,1,Graduate,Medium,1,8.9,38.8,43.5,Pass
155,16,Female,17,70,1,Higher Secondary,High,1,8.1,48.9,50.6,Pass
156,14,Male,27,86,1,Secondary,High,0,6.2,78.6,78.0,Pass
157,17,Female,9,92,1,Graduate,Medium,0,6.7,44.2,39.9,Fail
158,18,Female,4,80,1,No Schooling,Medium,0,5.4,33.7,25.0,Fail
159,14,Female,7,70,0,Higher Secondary,Low,0,4.8,44.3,38.9,Fail
160,16,Male,23,75,0,Higher Secondary,Medium,1,6.4,53.8,47.5,Pass
161,16,Female,2,90,1,Graduate,Low,0,6.3,22.0,21.6,Fail
162,14,Male,17,84,1,Secondary,High,1,6.6,64.3,75.9,Pass
163,18,Female,24,87,0,Graduate,Low,0,8.8,49.0,49.6,Pass
164,14,Female,8,73,0,Primary,High,0,7.0,25.9,41.7,Pass
165,16,Male,23,60,1,Graduate,Medium,0,7.0,39.7,67.3,Pass
166,15,Female,15,90,1,Primary,Medium,1,4.6,69.0,52.6,Pass
167,17,Female,15,78,1,No Schooling,Medium,0,9.0,38.9,48.8,Pass
168,16,Male,8,96,1,Higher Secondary,Low,1,7.9,42.3,30.9,Fail
169,14,Female,16,52,1,Higher Secondary,High,1,8.4,34.7,32.1,Fail
170,17,Male,19,50,1,Secondary,High,1,6.1,47.6,52.4,Pass
171,14,Male,11,68,0,Graduate,High,1,6.5,40.5,44.2,Pass
172,14,Male,2,95,1,No Schooling,High,0,6.6,42.8,30.7,Fail
173,15,Female,23,98,1,Primary,High,0,5.0,53.7,47.6,Pass
174,17,Male,24,71,0,Secondary,Low,1,7.4,56.3,55.6,Pass
175,17,Male,17,63,0,No Schooling,High,1,8.5,63.6,69.1,Pass
176,15,Female,28,98,0,No Schooling,Medium,0,4.8,81.8,84.4,Pass
177,16,Male,26,63,0,Primary,High,0,4.4,51.1,61.9,Pass
178,14,Female,16,93,1,Primary,Medium,1,7.7,59.4,54.6,Pass
179,18,Female,25,65,0,Higher Secondary,Low,0,5.4,76.7,63.9,Pass
180,14,Female,15,82,0,Graduate,Low,0,7.1,35.2,52.1,Pass
181,14,Female,13,62,1,Secondary,Medium,0,7.5,21.9,45.7,Pass
182,16,Male,15,87,0,Graduate,High,1,5.6,48.2,43.4,Pass
183,14,Male,27,98,0,Secondary,Low,1,8.1,74.1,74.5,Pass
184,15,Male,4,61,1,No Schooling,Low,1,6.7,24.3,14.1,Fail
185,15,Male,16,100,1,Primary,Low,1,8.3,71.8,70.1,Pass
186,17,Male,12,87,1,Primary,High,1,7.8,54.2,68.1,Pass
187,18,Female,4,88,1,No Schooling,Medium,0,8.3,29.4,38.3,Fail
188,14,Male,3,82,1,No Schooling,Medium,0,4.1,26.7,41.0,Pass
189,14,Male,22,82,1,Secondary,High,0,5.2,53.1,52.6,Pass
190,16,Male,17,78,1,No Schooling,Low,1,4.5,65.2,47.7,Pass
191,15,Female,22,54,0,Secondary,High,0,6.2,44.5,63.8,Pass
192,18,Female,18,55,0,Graduate,High,1,8.4,36.6,47.8,Pass
193,17,Male,25,80,1,Primary,Medium,1,6.3,79.1,67.9,Pass
194,15,Female,18,65,0,Primary,High,1,8.2,48.7,68.4,Pass
195,17,Male,23,80,1,Primary,High,1,5.6,52.9,52.0,Pass
196,16,Male,28,74,0,Graduate,Low,1,5.7,86.3,72.1,Pass
197,16,Female,17,97,1,Graduate,Low,1,8.5,68.7,69.8,Pass
198,14,Female,12,95,0,Higher Secondary,Medium,0,6.1,47.0,34.7,Fail
199,18,Male,23,82,1,Secondary,Low,1,7.9,65.0,75.1,Pass
200,17,Male,21,62,0,Secondary,High,0,5.2,47.3,42.2,Pass
201,15,Female,24,59,1,Higher Secondary,High,1,8.7,58.7,66.9,Pass
202,16,Male,4,73,0,Primary,High,0,6.9,25.2,29.1,Fail
203,14,Female,12,59,0,Secondary,Medium,1,7.8,34.8,42.0,Pass
204,14,Male,26,90,1,Secondary,Low,1,4.4,73.0,59.6,Pass
205,17,Female,23,80,0,Primary,High,0,6.5,52.4,56.1,Pass
206,16,Male,22,62,0,No Schooling,Low,1,8.5,58.8,74.1,Pass
207,18,Male,21,52,0,No Schooling,Low,1,8.4,51.9,56.4,Pass
208,16,Female,20,99,0,Higher Secondary,Low,0,4.2,52.7,43.5,Pass
209,17,Male,15,83,0,Graduate,Low,0,5.5,46.5,42.9,Pass
210,17,Male,23,98,1,Secondary,Medium,1,6.2,77.3,62.2,Pass
211,16,Female,28,77,1,Secondary,Medium,0,4.9,45.5,38.1,Fail
212,17,Male,16,68,0,Higher Secondary,Medium,0,7.6,50.2,50.6,Pass
213,16,Male,5,72,1,Higher Secondary,High,1,4.9,24.8,25.6,Fail
214,15,Male,21,94,0,Secondary,High,0,5.7,55.1,62.3,Pass
215,16,Female,15,81,1,Primary,High,1,7.3,26.5,40.4,Pass
216,16,Female,17,62,0,Primary,Medium,0,6.4,49.8,56.1,Pass
217,17,Female,18,82,0,Graduate,Low,1,7.7,49.2,52.8,Pass
218,17,Male,5,83,0,Secondary,Medium,1,8.8,32.4,51.0,Pass
219,14,Male,13,82,0,Secondary,High,1,4.6,50.0,39.2,Fail
220,14,Male,19,54,1,Secondary,High,0,7.5,28.0,38.5,Fail
221,15,Male,13,52,1,Secondary,Low,1,5.2,43.7,56.1,Pass
222,14,Female,18,56,1,Higher Secondary,Medium,0,6.1,53.3,50.6,Pass
223,16,Male,14,73,0,No Schooling,Low,1,4.2,49.6,45.1,Pass
224,17,Male,4,71,1,Secondary,Medium,1,4.7,31.4,30.9,Fail
225,14,Male,4,94,1,No Schooling,High,1,5.6,42.6,44.8,Pass
226,14,Female,20,72,0,Primary,Low,0,5.7,50.8,54.5,Pass
227,15,Male,20,79,0,Graduate,Low,1,8.5,66.3,58.9,Pass
228,15,Male,19,67,0,Primary,Medium,1,7.7,66.2,60.9,Pass
229,16,Male,13,81,1,Secondary,Medium,0,8.9,42.7,51.0,Pass
230,17,Male,12,56,1,Primary,Medium,1,7.0,45.1,42.7,Pass
231,15,Male,7,82,0,Higher Secondary,High,1,5.2,33.4,28.1,Fail
232,14,Female,25,54,1,No Schooling,Medium,0,5.6,60.9,55.8,Pass
233,17,Male,12,98,0,Secondary,High,0,5.6,52.0,57.1,Pass
234,17,Male,21,77,1,Higher Secondary,Medium,0,5.6,55.9,56.1,Pass
235,14,Male,4,57,0,No Schooling,Medium,1,7.4,33.3,31.1,Fail
236,15,Male,27,64,1,Higher Secondary,High,0,6.7,62.7,72.7,Pass
237,14,Male,2,53,1,Primary,Medium,1,5.9,26.4,13.6,Fail
238,17,Male,2,83,1,Secondary,High,1,4.7,27.1,23.8,Fail
239,18,Male,5,54,0,Primary,High,0,4.1,25.4,36.2,Fail
240,18,Male,23,82,0,Graduate,Medium,0,5.1,53.3,56.0,Pass
241,16,Male,10,54,0,Secondary,Medium,1,4.5,44.9,42.1,Pass
242,14,Male,10,87,1,Primary,Low,0,7.9,35.7,40.5,Pass
243,14,Female,9,83,0,Secondary,Medium,0,4.6,41.1,45.9,Pass
244,16,Female,13,75,1,No Schooling,Low,1,7.6,47.4,49.6,Pass
245,16,Female,7,50,0,Secondary,Medium,0,5.9,28.2,49.3,Pass
246,16,Female,5,53,0,Secondary,High,0,4.4,22.8,24.8,Fail
247,17,Male,26,88,1,No Schooling,High,0,8.1,60.2,63.2,Pass
248,14,Female,10,75,1,Primary,Low,1,6.9,56.4,62.2,Pass
249,17,Female,10,82,0,Secondary,Medium,0,5.2,30.7,31.0,Fail
250,16,Male,6,82,0,Higher Secondary,Low,0,8.5,40.0,34.2,Fail
251,14,Female,27,57,1,Secondary,Medium,1,4.2,48.6,46.3,Pass
252,17,Female,28,69,1,Primary,Medium,1,5.0,67.8,72.9,Pass
253,17,Male,19,65,0,No Schooling,High,1,7.8,68.3,61.9,Pass
254,16,Male,21,70,1,Primary,Low,1,7.5,57.7,54.2,Pass
255,14,Male,8,94,0,Graduate,High,0,5.4,41.2,33.1,Fail
256,16,Female,1,75,0,Secondary,High,1,4.3,45.0,30.1,Fail
257,14,Female,28,72,0,Secondary,High,1,8.3,67.2,79.3,Pass
258,18,Male,17,67,1,No Schooling,Low,0,5.6,51.2,54.9,Pass
259,15,Male,7,80,0,Secondary,Medium,1,5.0,45.5,37.7,Fail
260,15,Female,14,91,0,Higher Secondary,Medium,1,6.6,39.5,47.3,Pass
261,15,Male,21,61,1,Higher Secondary,Low,0,8.6,47.9,55.0,Pass
262,16,Female,21,50,1,Primary,Medium,1,4.2,55.8,57.0,Pass
263,18,Male,17,91,1,No Schooling,Low,1,7.8,44.8,44.5,Pass
264,14,Male,9,58,0,Graduate,Low,0,6.9,44.6,37.0,Fail
265,17,Female,17,52,1,Primary,Medium,0,6.1,51.7,53.2,Pass
266,14,Male,5,100,1,No Schooling,High,0,7.7,46.6,42.4,Pass
267,17,Male,26,75,0,No Schooling,Low,0,8.8,74.7,84.3,Pass
268,14,Male,25,58,0,Primary,Low,0,5.1,62.1,67.4,Pass
269,18,Female,20,91,0,Primary,Low,0,4.7,55.0,50.7,Pass
270,17,Male,29,100,0,Secondary,Low,0,8.6,57.2,57.6,Pass
271,16,Male,8,65,1,Graduate,Medium,0,7.3,27.7,38.8,Fail
272,14,Male,6,73,0,Higher Secondary,Medium,0,6.2,24.4,29.5,Fail
273,14,Male,11,99,1,Secondary,Low,0,6.9,55.4,58.1,Pass
274,17,Male,19,63,0,No Schooling,High,0,7.7,48.2,57.0,Pass
275,16,Male,4,52,0,Graduate,Medium,0,7.9,5.9,30.7,Fail
276,16,Female,18,83,1,Graduate,High,1,8.6,68.6,64.1,Pass
277,18,Female,1,82,1,Primary,High,0,6.1,42.4,33.9,Fail
278,16,Male,13,99,1,Graduate,Low,0,5.5,67.0,63.5,Pass
279,16,Female,14,73,0,Graduate,Medium,0,7.2,31.6,45.7,Pass
280,16,Female,24,58,0,No Schooling,Low,0,6.1,56.6,63.1,Pass
281,15,Male,1,62,1,Secondary,Low,0,7.0,13.0,4.3,Fail
282,18,Female,29,51,1,Graduate,High,1,6.1,86.2,68.1,Pass
283,14,Female,11,56,0,Primary,High,1,4.8,38.6,34.6,Fail
284,17,Female,17,97,1,Secondary,High,1,6.3,58.9,56.7,Pass
285,14,Female,4,70,1,Primary,Low,1,7.5,29.5,15.0,Fail
286,18,Female,26,68,0,Graduate,Low,0,8.0,62.7,67.8,Pass
287,17,Female,12,74,1,Secondary,Low,1,6.5,53.4,54.6,Pass
288,18,Female,10,96,0,Graduate,Low,1,4.8,32.3,32.7,Fail
289,16,Female,6,71,0,No Schooling,Low,0,6.1,44.3,41.1,Pass
290,17,Male,25,60,0,Secondary,Low,1,7.9,65.2,73.3,Pass
291,16,Male,1,82,1,Primary,Low,1,6.1,48.0,24.1,Fail
292,14,Female,7,81,1,No Schooling,Low,0,7.5,54.9,52.8,Pass
293,14,Female,26,70,1,Higher Secondary,Medium,0,6.5,62.0,59.9,Pass
294,17,Male,27,88,1,Primary,Medium,1,5.2,83.5,76.0,Pass
295,17,Female,21,69,0,Graduate,Medium,0,8.0,46.4,49.0,Pass
296,18,Female,28,57,0,Primary,Medium,1,4.4,59.4,71.9,Pass
297,18,Male,16,91,1,Higher Secondary,Low,0,6.6,70.0,53.3,Pass
298,16,Male,24,86,1,Primary,Low,1,5.0,62.4,73.7,Pass
299,17,Male,14,58,1,No Schooling,High,1,4.3,48.4,64.5,Pass
300,14,Female,23,74,1,Primary,High,1,6.5,55.6,47.2,Pass
301,18,Female,20,74,0,Secondary,Medium,0,6.5,45.6,46.5,Pass
302,18,Male,20,82,1,Higher Secondary,High,0,7.5,52.5,61.4,Pass
303,14,Male,6,51,0,Primary,Medium,1,7.7,43.8,32.4,Fail
304,18,Female,22,68,1,Higher Secondary,Low,0,7.6,61.5,61.4,Pass
305,16,Male,25,95,1,No Schooling,Low,0,6.0,77.4,75.0,Pass
306,17,Female,28,69,1,Secondary,High,1,7.2,52.6,56.9,Pass
307,14,Female,5,91,0,Graduate,Low,0,6.9,35.1,34.0,Fail
308,17,Male,24,90,1,Primary,Low,0,6.1,62.2,71.4,Pass
309,18,Male,21,91,0,No Schooling,Medium,1,7.0,68.7,65.8,Pass
310,18,Female,18,78,0,Higher Secondary,High,1,8.7,79.5,64.2,Pass
311,14,Male,15,55,1,Higher Secondary,Low,0,5.0,18.1,38.2,Fail
312,16,Male,6,66,0,No Schooling,High,0,8.5,32.8,45.8,Pass
313,15,Male,25,74,0,Primary,Low,0,4.3,81.7,77.1,Pass
314,14,Male,29,87,0,Graduate,Medium,1,5.5,69.5,63.6,Pass
315,15,Female,19,53,1,Primary,Low,0,5.4,48.9,44.0,Pass
316,15,Female,1,79,0,Secondary,High,0,7.1,32.0,9.6,Fail
317,16,Female,1,69,0,Primary,High,0,4.7,0.6,2.1,Fail
318,15,Female,13,52,1,Secondary,Medium,0,8.4,40.8,53.5,Pass
319,15,Male,3,72,1,Higher Secondary,Low,0,8.1,21.2,19.4,Fail
320,16,Male,10,100,0,Secondary,Medium,0,7.3,65.5,48.4,Pass
321,15,Female,21,67,0,Graduate,High,1,6.3,54.5,65.2,Pass
322,15,Female,3,75,0,No Schooling,Medium,1,8.7,24.9,37.0,Fail
323,15,Male,9,85,0,Secondary,Low,1,8.2,52.5,44.3,Pass
324,14,Female,8,57,1,Primary,Low,0,6.5,37.0,40.5,Pass
325,14,Female,3,66,1,Secondary,Medium,0,7.5,36.3,26.2,Fail
326,14,Male,25,80,0,Higher Secondary,High,1,6.8,85.6,76.8,Pass
327,16,Female,13,86,1,Secondary,High,1,6.9,47.4,32.6,Fail
328,18,Male,6,94,0,Graduate,Medium,1,5.7,59.4,50.2,Pass
329,15,Male,13,82,1,Secondary,Low,1,6.3,70.9,59.7,Pass
330,15,Female,23,76,1,Graduate,Low,1,4.4,57.6,52.9,Pass
331,16,Male,20,94,0,Primary,Low,0,5.8,51.5,53.1,Pass
332,15,Female,20,53,0,Higher Secondary,Low,0,7.5,46.4,51.1,Pass
333,14,Male,12,71,0,No Schooling,High,0,8.8,37.3,35.9,Fail
334,18,Female,13,75,0,Primary,Low,0,8.8,59.1,59.6,Pass
335,17,Female,2,81,1,Primary,Medium,0,6.8,21.7,20.4,Fail
336,15,Female,21,73,1,No Schooling,Medium,1,7.0,63.8,62.4,Pass
337,14,Male,24,95,0,Secondary,Medium,1,4.9,61.8,50.5,Pass
338,17,Male,23,84,1,Secondary,Medium,0,7.5,63.8,64.7,Pass
339,18,Female,16,86,1,Secondary,Low,1,4.4,79.2,64.2,Pass
340,17,Male,23,81,0,Higher Secondary,High,0,5.4,77.0,64.5,Pass
341,14,Female,6,56,0,Primary,Low,0,7.3,29.6,35.6,Fail
342,17,Female,19,82,1,Graduate,High,1,5.6,67.4,45.5,Pass
343,16,Male,21,80,0,No Schooling,Low,0,4.2,60.2,54.1,Pass
344,17,Female,13,61,0,Primary,High,0,8.2,34.8,43.6,Pass
345,15,Male,17,60,1,Secondary,Medium,0,5.6,65.7,76.5,Pass
346,15,Female,23,73,1,No Schooling,Medium,1,4.3,77.6,59.2,Pass
347,16,Male,9,57,0,Graduate,High,1,4.4,37.9,35.9,Fail
348,14,Female,17,81,1,Primary,High,0,5.3,50.6,54.7,Pass
349,15,Female,29,87,0,Primary,High,0,4.9,68.1,70.4,Pass
350,18,Male,2,71,0,Higher Secondary,Medium,1,7.9,32.7,20.8,Fail
